ID,AddressInfo_Title,AddressInfo_AddressLine1,AddressInfo_Town,AddressInfo_Postcode,AddressInfo_Latitude,AddressInfo_Longitude,NumberOfPoints,StatusType_IsOperational,Connections_0_ConnectionType_FormalName,Connections_0_PowerKW,Connections_1_ConnectionType_FormalName,Connections_1_PowerKW,Connections_2_ConnectionType_FormalName,Connections_2_PowerKW,Connections_3_ConnectionType_FormalName,Connections_3_PowerKW
479672,Schlepers,Wigstraat 33,Lelystad,8223 EE,52.52455330009013,5.495130590394069,2.0,True,IEC 62196-3 Configuration FF,22.0,N/A,N/A,N/A,N/A,N/A,N/A
478528,Carolineburg,Carolineburg,Hoofddorp,2135 CV,52.30633160023851,4.659844105850652,2.0,True,IEC 62196-3 Configuration FF,13.0,N/A,N/A,N/A,N/A,N/A,N/A
477331,PLUS Vledder (PowerGo),Dorpsstraat 32,Vledder,8381 BA,52.8572883605957,6.2110114097595215,N/A,True,IEC 62196-3 Configuration FF,50.0,IEC 62196-3 Configuration FF,50.0,N/A,N/A,N/A,N/A
477330,PLUS Odoorn (PowerGo),Exloërweg 11,Odoorn,7873 BW,52.853553771972656,6.847490310668945,N/A,True,IEC 62196-3 Configuration FF,50.0,IEC 62196-3 Configuration FF,50.0,N/A,N/A,N/A,N/A
477324,Basic-Fit 1139 Ridderkerk (PowerGo),Gieterijstraat 30,Ridderkerk,2984 AB,51.870601654052734,4.606110095977783,N/A,N/A,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,N/A,N/A
477323,Jumbo 3748 Oud-Beijerland (PowerGo),Beneden Oostdijk 18,Oud-Beijerland,3261 KX,51.82477951049805,4.420300006866455,N/A,True,IEC 62196-3 Configuration FF,150.0,IEC 62196-3 Configuration FF,150.0,IEC 62196-3 Configuration FF,150.0,IEC 62196-3 Configuration FF,150.0
477321,Basic-Fit 1094 Oosterhout Beneluxweg (PowerGo),Beneluxweg 5,Oosterhout,4904 SJ,51.62565231323242,4.868551254272461,N/A,False,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,N/A,N/A
475277,Boogaertshof,Boogaertshof,Oudenbosch,4731 ZC,51.59004894513291,4.524537231212321,2.0,True,Not Specified,N/A,N/A,N/A,N/A,N/A,N/A,N/A
473176,Jacob Cnodestraat,Jacob Cnodestraat,N/A,5223 HT,51.69428661501152,5.271764540184222,2.0,True,IEC 62196-2 Type 2,11.0,N/A,N/A,N/A,N/A,N/A,N/A
472670,Stroomstek - Openbaar laadplein Brookhuis,Kelvinstraat 1B,Oldenzaal,7575 AS,52.301919619974825,6.922462981859276,26.0,True,IEC 62196-3 Configuration FF,240.0,IEC 62196-2,11.0,N/A,N/A,N/A,N/A
472604,Stationsstraat,Stationsstraat,Rhoon,3161 KP,51.859109558304255,4.418708362559414,2.0,True,IEC 62196-3 Configuration FF,11.0,N/A,N/A,N/A,N/A,N/A,N/A
472446,Adminance,Nijverheidsweg 11,Giessenburg,3381 LM,51.84408160139958,4.896806681837802,2.0,True,IEC 62196-2 Type 2,13.0,N/A,N/A,N/A,N/A,N/A,N/A
472180,vanZijlweg1,van Zijlweg 1,Wapserveen,8351 HW,52.80581332733479,6.213646722224894,1.0,True,IEC 62196-2 Type 2,11.0,N/A,N/A,N/A,N/A,N/A,N/A
471141,Next To Tamoil,Bartokstraat 316,Tilburg,5011jd,51.5902892555215,5.085150204736124,1.0,True,IEC 62196-2 Type 2,17.0,N/A,N/A,N/A,N/A,N/A,N/A
470818,Kletec Charge,Energieweg 23,Barneveld,3771 NA,52.165651333711764,5.606631844036883,3.0,True,IEC 62196-3 Configuration FF,400.0,N/A,N/A,N/A,N/A,N/A,N/A
470683,De Waaij,De Waaij,Heumen,6582 BW,51.765646359806624,5.8351903289863,1.0,True,IEC 62196-3 Configuration FF,150.0,N/A,N/A,N/A,N/A,N/A,N/A
469283,Zeeland Zweefland,Calandweg 2D,Arnemuiden,4341RA,51.51346059910438,3.7252811161121144,2.0,True,IEC 62196-2 Type 2,22.0,IEC 62196-2 Type 2,22.0,N/A,N/A,N/A,N/A
464107,Jumbo 6479 Bedum (PowerGo),Noordwolderweg 3,Bedum,9781 AD,53.30032730102539,6.5948381423950195,N/A,True,IEC 62196-3 Configuration FF,320.0,IEC 62196-3 Configuration FF,320.0,N/A,N/A,N/A,N/A
464106,Groningse Golfclub Duurswold (PowerGo),Roegeweg 2,Steendam,9629PA,53.26579666137695,6.838139057159424,N/A,True,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,N/A,N/A
464105,Voetbalvereniging Nieuw Buinen (PowerGo),Zuiderdiep 156,Nieuw-Buinen,9521AX,52.966739654541016,6.962071895599365,N/A,True,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7
464104,Jachthaven Marina den Oever (PowerGo),Noorderdijkweg 25A,Wieringerwerf,1771MJ,52.923309326171875,5.046607494354248,N/A,True,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7
464102,Jumbo 6518 Ter Apel (PowerGo),Nederveen Cappelstraat 41,Ter Apel,9561KM,52.87522888183594,7.059174060821533,N/A,True,IEC 62196-3 Configuration FF,90.0,IEC 62196-3 Configuration FF,90.0,N/A,N/A,N/A,N/A
464101,Jumbo 4687 Emmen Weerdingerstraat (PowerGo),Weerdingerstraat 232B,Emmen,7811 CE,52.791866302490234,6.897941589355469,N/A,True,IEC 62196-3 Configuration FF,50.0,IEC 62196-3 Configuration FF,50.0,N/A,N/A,N/A,N/A
464098,Jumbo 4683 Hardenberg A. Helfrichstraat (PowerGo),Admiraal Helfrichstraat 1,Hardenberg,7772 BV,52.5744514465332,6.6215739250183105,N/A,True,IEC 62196-3 Configuration FF,320.0,IEC 62196-3 Configuration FF,320.0,N/A,N/A,N/A,N/A
464096,Basic-Fit 1243 Hoofddorp Toolenburg (PowerGo),Hoofdweg 871,Hoofddorp,2131 MB,52.289520263671875,4.6671953201293945,N/A,N/A,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0,IEC 62196-3 Configuration FF,30.0
464095,Vakgarage Automeer (PowerGo),Ambachtsweg 9,Katwijk aan Zee,2222AH,52.20167541503906,4.430006980895996,N/A,True,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7,N/A,N/A
464094,Scheepmakerstraat 1 Katwijk (PowerGo),Scheepmakerstraat 1,Katwijk aan Zee,2222 AB,52.201178,4.4249535,N/A,True,IEC 62196-2,12.7,IEC 62196-2,12.7,N/A,N/A,N/A,N/A
464091,TopParken Landgoed de Scheleberg (PowerGo),Immenweg 15,Lunteren,6741KP,52.0877799987793,5.669320583343506,N/A,True,IEC 62196-3 Configuration FF,60.0,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7
464090,TopParken Recreatiepark ’t Gelloo (PowerGo),Barteweg 15,Ede,6718TH,52.07477951049805,5.667741298675537,N/A,True,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7
464089,TopParken Bospark Ede (PowerGo),Zonneoordlaan 47,Ede,6718TL,52.06673049926758,5.669722080230713,N/A,True,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7,IEC 62196-2,12.7
464088,Jumbo 5111 Nieuwegein WC Galecop (PowerGo),Winkelcentrum Galecop 7,Nieuwegein,3437JV,52.05317306518555,5.083372116088867,N/A,True,IEC 62196-3 Configuration FF,90.0,IEC 62196-3 Configuration FF,90.0,N/A,N/A,N/A,N/A
