kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
69GKPX,2004-02-06,BMW,Personenauto,GRIJS,Benzine
MN49GL,2004-01-21,SUZUKI,Motorfiets,N.v.t.,Benzine
MG05BB,2004-01-10,EML,Motorfiets met zijspan,N.v.t.,Benzine
31NSFF,2004-01-24,FORD,Personenauto,GRIJS,Benzine
BS72FS,2004-01-10,SUZUKI,Bedrijfsauto,N.v.t.,Benzine
43NRSL,2004-01-30,PEUGEOT,Personenauto,GRIJS,Benzine
RGJT66,2004-01-29,VOLKSWAGEN,Personenauto,BLAUW,Diesel
YH18FR,2004-01-07,PEUGEOT,Personenauto,GRIJS,Diesel
NZZT25,2004-01-27,VOLKSWAGEN,Personenauto,BLAUW,Benzine
BJ3321,2004-01-31,CITROEN,Bedrijfsauto,N.v.t.,Benzine
42NPZN,2004-01-15,FORD,Personenauto,GRIJS,Benzine
85NPZK,2004-01-15,FORD,Personenauto,GRIJS,Benzine
29NPHK,2004-01-07,TOYOTA,Personenauto,BLAUW,Benzine
63BDKF,2004-01-28,FORD,Bedrijfsauto,N.v.t.,Diesel
82JJSN,2004-02-07,SAAB,Personenauto,ZWART,Benzine
FNXB99,2004-01-20,MERCEDES-BENZ,Personenauto,GROEN,Diesel
01NSLH,2004-01-30,RENAULT,Personenauto,GRIJS,Benzine
68NPXK,2004-01-13,SEAT,Personenauto,GRIJS,Benzine
83NNNF,2004-01-03,VOLKSWAGEN,Personenauto,ZWART,Diesel
61NPFB,2004-01-19,RENAULT,Personenauto,ROOD,Benzine
MB38ZD,2004-01-05,KAWASAKI,Motorfiets,N.v.t.,Benzine
94NNTG,2004-01-05,MINI,Personenauto,GEEL,Benzine
87NPTF,2004-01-09,OPEL,Personenauto,BLAUW,Benzine
MD04YB,2004-01-30,BMW,Motorfiets,N.v.t.,Benzine
65DDBB,2004-02-13,VOLVO,Personenauto,ZWART,Benzine
NHGN81,2004-02-12,HONDA,Personenauto,ZWART,Benzine
67NRDD,2004-01-07,OPEL,Personenauto,GRIJS,Benzine
68DZGJ,2004-01-06,VOLVO,Personenauto,BLAUW,Benzine
MP69YV,2004-01-26,ZUENDAPP,Motorfiets,N.v.t.,Benzine
36NPDG,2004-01-09,AUDI,Personenauto,ZWART,Benzine
98NNTS,2004-01-08,FIAT,Personenauto,BLAUW,Benzine
81VZVD,2004-01-15,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
MF48HG,2004-02-11,HONDA,Motorfiets,N.v.t.,Benzine
MJVZ71,2004-02-06,HONDA,Motorfiets,N.v.t.,Benzine
30DRHR,2004-01-16,VOLKSWAGEN,Personenauto,GROEN,Benzine
YN05XJ,2004-01-20,VOLKSWAGEN,Personenauto,GRIJS,Benzine
VV31PP,2004-01-29,ASIA,Bedrijfsauto,N.v.t.,Diesel
